id,name,applicability
account.account_tag_operating,CF: Үндсэн: Бусад,accounts
account.account_tag_financing,CF: Хөрөнгө оруулалт: Бусад Урт хугацаат хөрөнгө,accounts
account.account_tag_investing,CF: Санхүү: Ногдол ашиг,accounts
account_tag_operating_product,CF: Үндсэн: Бараа үйлчилгээ,accounts
account_tag_operating_loyalty,CF: Үндсэн: Эрхийн шимтгэл хураамж,accounts
account_tag_operating_insurance,CF: Үндсэн: Нийгмийн Даатгал,accounts
account_tag_operating_insurance2,CF: Үндсэн: Бусад Даатгал,accounts
account_tag_operating_taxrefund,CF: Үндсэн: Татвар,accounts
account_tag_operating_funding,CF: Үндсэн: Татаас санхүүжилт,accounts
account_tag_operating_employee,CF: Үндсэн: Ажилчид,accounts
account_tag_operating_cost,CF: Үндсэн: Ашиглалтын зардал,accounts
account_tag_operating_transport,CF: Үндсэн: Түлш тээвэр сэлбэг,accounts
account_tag_operating_interest,CF: Үндсэн: Зээлийн хүү,accounts
account_tag_investing_fasset,CF: Хөрөнгө оруулалт: Үндсэн хөрөнгө,accounts
account_tag_investing_iasset,CF: Хөрөнгө оруулалт: Биет бус хөрөнгө,accounts
account_tag_investing_invest,CF: Хөрөнгө оруулалт: Хөрөнгө оруулалт,accounts
account_tag_investing_loan,CF: Хөрөнгө оруулалт: Зээл урьдчилгаа,accounts
account_tag_investing_interest,CF: Хөрөнгө оруулалт: Зээлийн хүү,accounts
account_tag_investing_dividends,CF: Хөрөнгө оруулалт: Ногдол ашиг,accounts
account_tag_financing_loan,"CF: Санхүү: Зээл, өрийн үнэт цаас",accounts
account_tag_financing_rental,CF: Санхүү: Санхүүгийн түрээс,accounts
account_tag_financing_stock,CF: Санхүү: Хувьцаа өмчийн бусад үнэт цаас,accounts
account_tag_financing_donation,CF: Санхүү: Хандив,accounts
account_tag_exchange,CF: Валютын ханшийн зөрүү,accounts
vat_report_tag58,"ТТ3а: Борлуулалтын орлогын буцаалт, хөнгөлөлт (58)",accounts
vat_report_tag59,"ТТ3а: Худалдан авалтын буцаалт, хөнгөлөлт (59)",accounts
tax_report_tag2,ТТ02: Татвараас чөлөөлөгдөх орлого (2),accounts
tax_report_tag5,ТТ02: Бусад орлогын дүн (5),accounts
tax_report_tag7,ТТ02: Үндсэн ажил үйлчилгээний орлого (7),accounts
tax_report_tag8,ТТ02: Туслах ажил үйлчилгээний орлого (8),accounts
tax_report_tag9,"ТТ02: Хувьцаа, үнэт цаас борлуулсны орлого (9)",accounts
tax_report_tag10,"ТТ02: Үнэ төлбөргүйгээр бусдаас авсан бараа, үйлчилгээ (10)",accounts
tax_report_tag11,ТТ02: Биет бус хөрөнгө борлуулсны орлого (11),accounts
tax_report_tag12,ТТ02: Техникийн зөвлөх үйлчилгээний орлого (12),accounts
tax_report_tag13,"ТТ02: Гэрээний хүү, торгууль, хохирлын нөхөн төлбөрийн орлого (13)",accounts
tax_report_tag14,ТТ02: Гадаад валютын ханшийн зөрүүгийн бодит орлого (14),accounts
tax_report_tag15,ТТ02: Хөдлөх болон үл хөдлөх эд хөрөнгийн түрээсийн орлого (15),accounts
tax_report_tag16,ТТ02: Хөдлөх эд хөрөнгө борлуулсны орлого (16),accounts
tax_report_tag17,ТТ02: Албан татвар ногдох бусад орлого (17),accounts
tax_report_tag22,ТТ02: Татвар ногдох орлогоос хасагдахгүй зардал (22),accounts
tax_report_tag23,ТТ02: Татвар ногдох орлогыг бууруулах (23),accounts
tax_report_tag25,ТТ02: Сайн дурын даатгалын хураамжийн хэтрэлт (25),accounts
tax_report_tag27,ТТ02: Өмнөх жилийн татварын алдагдлаас тайлант хугацаанд шилжүүлсэн дүн (27),accounts
tax_report_tag30,ТТ02: Татварын хөнгөлөлт (30),accounts
tax_report_tag32,"ТТ02: Эротик хэвлэл, бичлэг, тоглолт борлуулалтын орлого (32)",accounts
tax_report_tag34,"ТТ02: Таавар, бооцоот тоглоом, хонжворт сугалааны орлого (34)",accounts
tax_report_tag35,"ТТ02: Таавар, бооцоот тоглоом, хонжворт сугалааны орлого олоход зарцуулсан зардал (35)",accounts
tax_report_tag36,ТТ02: Хонжворт олгосон мөнгө болон барааны үнэ (36),accounts
tax_report_tag39,ТТ02: Хүүгийн орлого (39),accounts
tax_report_tag41,"ТТ02: Гадаад улсад олсон ногдол ашиг, хүүгийн орлого (41)",accounts
tax_report_tag43,ТТ02: Гадаад улсад олсон орлого (43),accounts
tax_report_tag46,ТТ02: Ногдол ашгийн орлого (46),accounts
tax_report_tag48,ТТ02: Эрхийн шимтгэлийн орлого (48),accounts
tax_report_tag50,ТТ02: Эрх борлуулсны орлого (50),accounts
tax_report_tag52,ТТ02: Үл хөдлөх хөрөнгө борлуулсны орлого (52),accounts
